Date,Type_Organisme,Manquement,Sanction
19/12/2024,"SOCIETE ASSURANT DES ACTIVITES DE SECURITE PRIVE, PROTECTION RAPPROCHEE, HOTESSARIAT ET GESTION LOGISTIQUE (procédure simplifiée)",Défaut de coopération avec la CNIL,Amende administrative de 8 000 euros
19/12/2024,STOMATOLOGUE  (procédure simplifiée),Non respect du droit d'accès (dossier médical)Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
19/12/2024,SOCIETE EDITANT UN SITE DE JEUX DEMATERIALISES  (procédure simplifiée),Non respect du droit d'accès,Amende administrative de 15 000 euros
19/12/2024,SOCIETE GERANT UNE SALLE DE SPORT (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 3 000 euros
19/12/2024,SOCIETE SPECIALISEE DANS LE SECTEUR D'ACTIVITE DES PORTAILS INTERNET  (procédure simplifiée),Non respect du droit d'oppositionDéfaut de coopération avec la CNIL,Amende administrative de 5 000 euros
19/12/2024,SOCIETE DE CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES  (procédure simplifiée),Non respect du droit d'accès,Amende administrative de 8 000 euros
19/12/2024,SOCIETE EXERCANT UNE ACTIVITE D'AGENCE IMMOBILIERE,Minimisation des données (vidéosurveillance)Obligation de traiter les données de façon licite (vidéosurveillance)Information des personnesDéfaut de sécurité des donnéesObligation de réaliser une analyse d'impact,Amende administrative de 40 000 euros
19/12/2024,ACCES AUX SOINS  (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
19/12/2024,GROUPEMENT REGIONAL D'APPUI AU DEVELOPPEMENT DE LA E-SANTE (procédure simplifiée),Obligations en matière de traitements de données dans le domaine de la santéEncadrement des relations entre le responsable de traitement et le sous-traitant,Amende administrative de 20 000 euros
19/12/2024,MEDECIN GENERALISTE (procédure simplifiée),Absence de réponse à l'injonction  (procédure d'injonction),Liquidation d'astreinte de 2 000 euros
26/12/2024,SOCIETE EXPLOITANT DES SUPERMARCHES (procédure simplifiée),Minimisation des donnéesRegistre des activités de traitementObligation de réaliser une analyse d'impact,Amende administrative de 18 000 euros
31/12/2024,SOCIETE DE TRANSPORT AMBULANCIER  (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 10 000 euros
31/12/2024,PARTICULIERS  (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
31/12/2024,SOCIETE GERANT UN ROBOT CONVERSATIONNEL UTILISANT L'INTELLIGENCE ARTIFICELLE   (procédure simplifiée),Défaut de coopération avec la CNIL,Amende administrative de 5 000 euros
23/01/2023,SOCIETE DE CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES (procédure simplifiée),Défaut de coopération avec  la CNILConsentement des personnes (cookies)Information des personnesNon respect du droit à l'effacementRegistre des activités de traitementDéfaut de sécurité des données,Amende de 5 000 euros et injonction
08/02/2023,COMMUNE (procédure simplifiée),Obligation de désigner un délégué à la protection des donnéesDéfaut de coopération avec  la CNIL,Amende de 5 000 euros et injonction
08/02/2023,MEDECIN GENERALISTE  (procédure simplifiée),Non respect du droit d'accèsDéfaut de coopération avec  la CNIL,Amende de 3 000 euros et injonction
08/02/2023,SOCIETE EXERCANT UNE ACTIVITE DE DETAIL D'HABILLEMENT EN MAGASIN SPECIALISE  (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende de 10 000 euros et injonction
03/03/2023,SOCIETE EXERCANT UNE ACTIVITE DE SECURITE PRIVEE  (procédure simplifiée),Non respect du principe deminimisationdes donnéesInformation des personnesRegistre des activités de traitement,Amende de 15 000 euros
16/03/2023,SOCIETE DE LOCATION DE SCOOTERS ELECTRIQUES EN LIBRE-SERVICE,Non respect du principe de minimisation des donnéesInformation des personnesEncadrement des relations entre leresponsable de traitementet lesous-traitant,Amende de 125 000 euros
28/03/2023,SOCIETE DE PROGRAMMATION INFORMATIQUE  (procédure simplifiée),Encadrement des relations entre le responsable de traitement et le sous-traitantDéfaut de sécurité des données,Amende de 20 000 euros
28/03/2023,SOCIETE DE MARKETING  (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende de 10 000 euros et injonction
17/04/2023,SOCIETE D'AIDE A DOMICILE POUR LES PERSONNES AGEES ET HANDICAPEES,Conformité tardive en matière d'anonymisation des données (procédure d'injonction),Liquidation de l'astreinte de 10 000 euros
17/04/2023,SOCIETE DEVELOPPANT UN LOGICIEL DERECONNAISSANCE FACIALE,Absence de réponse à l'injonction,Liquidation de l'astreinte de 5 200 000 euros
11/05/2023,"SOCIETE EDITANT UN SITE INTERNET PROPOSANT DES ARTICLES, TESTS, QUIZ ET FORUMS DE DISCUSSION EN LIEN AVEC LA SANTE ET LE BIEN-ETRE",Durée de conservationConsentement des personnes (données de santé)Encadrement des relations entre le responsable de traitement et le sous-traitantDéfaut de sécurité des donnéesConsentement des personnes (cookies et traceurs),Amende de 380 000 euros
12/05/2023,CHIRURGIEN DENTISTE  (procédure simplifiée),Non respect du droit d'accèsDéfaut de coopération avec  la CNIL,Amende de 4 500 euros et injonction
08/06/2023,SOCIÉTÉ DE VOYANCE,Non respect du principe de minimisation des donnéesDurée de conservationObligation de traiter les données de façon liciteConsentement des personnes (données sensibles)Information des personnes et transparenceEncadrement des relations entre le responsable de traitement et le sous-traitantDéfaut de sécurité des donnéesObligation de documenter uneviolation de donnéesConsentement des personnes (cookies),Amende de 150 000 euros
15/06/2023,SOCIÉTÉ SPÉCIALISÉE DANS L'AFFICHAGE DE PUBLICITÉS CIBLÉES SUR LE WEB,Consentement des personnesInformation des personnes et transparenceNon respect du droit d'accèsRetrait du consentement et effacement des donnéesEncadrement des relations entre les responsables conjoints de traitement,Amende de 40 millions d'euros
18/09/2023,SOCIETE DE TRANSPORT DE FRET AERIEN,"Minimisation des donnéesInterdiction de traiter des catégories particulières de données à caractère personnelCollecte ou traitement de données relatives aux infractions, aux condamnations et aux mesures de sûretéDéfaut de coopération avec  la CNIL",Amende de 200 000 euros
28/09/2023,REVUE LITTERAIRE FRANCAISE (procédure simplifiée),Information des personnes et transparenceDéfaut de coopération avec  la CNIL,Amende de 10 000 euros et injonction
28/09/2023,SOCIETE DE FABRICATION DE PRODUITS DE CONSOMMATION COURANTE EN MATIERES PLASTIQUES (procédure simplifiée),Minimisation des donnéesInformation des personnes et transparenceDéfaut de sécurité des données,Amende de 20 000 euros
28/09/2023,COMMERCE INTERENTREPRISES DE PRODUITS SURGELES (procédure simplifiée),"Minimisation des donnéesDurée de conservationCollecter ou traitement de données relatives aux infractions, aux condamnations et aux mesures de sûretéInformation des personnes et transparenceRegistre des activités de traitementDéfaut de sécurité des données",Amende de 20 000 euros
28/09/2023,SOCIETE AYANT UNE ACTIVITE DE COMMERCE DE DETAIL OPTIQUE (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende de 20 000 euros et injonction
06/10/2023,SOCIETE DE CONSEILS EN SYSTEMES ET LOGICIELS INFORMATIQUES (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende de 20 000 euros
12/10/2023,SOCIETE EDITANT DES CHAINES ET DISTRIBUANT DES OFFRES DE TELEVISION PAYANTES,Consentement des personnes (prospection commerciale)Information des personnes et transparenceNon respect du droit d'accèsEncadrement des relations entre le responsable de traitement et le sous-traitantObligation de documenter une violation de données,Amende de 600 000 euros
23/10/2023,EDITEUR DE SITE WEB DEDIE A LA PRESSE (procédure simplifiée),Droit d'oppositionDéfaut de coopération avec la CNIL,Amende de 5 000 euros et injonction
23/10/2023,EDITEUR DE BLOG EN LIGNE DEDIE A LA LUTTE CONTRE LA PEDOCRIMINALITE (procédure simplifiée),Défaut de coopération avec la CNIL,Amende de 2 000 euros
26/10/2023,SOCIETE AYANT POUR ACTIVITE PRINCIPALE L'EVENEMENTIEL (procédure simplifiée),Minimisation des donnéesInformation des personnes et transparenceRegistre des activités de traitementDéfaut de sécurité des données,Amende de 2 000 euros
08/11/2023,SOCIETE AYANT POUR ACTIVITE LE DEVELOPPEMENT ET LA MISE EN OEUVRE DE LOGICIELS DE SURVEILLANCE DES EMPLOYES (procédure simplifiée),Défaut de coopération avec la CNIL,Amende de 20 000 euros
09/11/2023,MINISTERE,Détournement des finalités,Rappel à l'ordre
09/11/2023,MINISTERE,Détournement des finalités,Rappel à l'ordre
15/11/2023,COMMUNE (procédure simplifiée),Obligation de traiter les données de façon liciteDurée de conservationDéfaut de sécurité des données,Amende  de 6 000 euros
16/11/2023,"SOCIETE AYANT UNE ACTIVITE DE SOUTIEN AUX ENTREPRISES, NOTAMMENT POUR LES EVENEMENTS TELEVISES (procédure simplifiée)",Obligation de traiter les données de façon liciteDétournement des finalitésDéfaut de sécurité des données,Amende  de 8 000 euros
22/11/2023,ORTHOPHONISTE (procédure simplifiée),Défaut de coopérationDroit d'accès pour les données de santé,Amende de 5 000 euros et injonction
11/12/2023,PERSONNALITE POLITIQUE (procédure simplifiée),Non respect du droit d'opposition,Amende de 3 000 euros et injonction
11/12/2023,MINISTERE,Obligation de traiter les données de façon liciteObligation de traiter des données exactesDéfaut de sécurité des données,Rappel à l'ordre
11/12/2023,MINISTERE,Obligation de traiter les données de façon liciteObligation de traiter des données exactesDéfaut de sécurité des données,Rappel à l'ordre
12/12/2023,COMMUNE,Obligation de désigner un délégué à la protection des donnéesDéfaut de coopération avec  la CNIL,Amende de 5 000 euros et injonction
27/12/2023,ASSOCIATION PROMOUVANT DES ACTIONS AU SEIN D'UNE COMMUNE (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende de 5 000 euros et injonction
27/12/2023,MEDECIN PEDIATRE (procédure simplifiée),Défaut de coopération avec  la CNIL,Amende  de 1 000 euros
27/12/2023,COMITE SOCIAL ECONOMIQUE D'ENTREPRISES (procédure simplifiée),Obligation d'associer le délégué à la protection des données aux questions relatives à la protection des donnéesObligation d'aider le délégué à la protection des données à exercer ses missionsObligation de permettre aux personnes concernées de prendre contact avec le délégué à la protection des données,Amende  de 10 000 euros
27/12/2023,SOCIETE DE SUPPORT LOGISTIQUE,Défaut debase légaleMinimisation des donnéesInformation des personnes et transparenceDéfaut de sécurité des données,Amende de 32 millions d'euros
29/12/2023,SOCIETE DE CONSEIL EN SYSTEMES ET LOGICIELS INFORMATIQUES,Interdiction pour le sous-traitant de recruter un autre sous-traitant sans l'autorisation du responsable de traitementDéfaut de sécurité des données,Amende de 100 000 euros
29/12/2023,SOCIETE PERMETTANT D'EFFECTUER DES PAIEMENTS EN LIGNE,Durée de conservationInformation des personnes et transparenceDéfaut de sécurité des donnéesConsentement des personnes (cookies),Amende de 105 000 euros
29/12/2023,SOCIETE PROPOSANT DES SERVICES DE TELECOMUNICATION,Information des personnes et transparenceConsentement des personnes (cookies),Amende de 10 millions d'euros
29/12/2023,SOCIETE DE SITES EN LIGNE DE JEUX-CONCOURS ET TESTS PRODUITS,Obligation de traiter les données de façon licite (prospection commerciale)Registre des activités de traitement,Amende de 75 000 euros et injonction
22/01/2022,SOCIETE D'ENTRETIEN ET DE REPARATION DE VEHICULES AUTOMOBILES,Défaut de coopération avec la CNIL,Amende de 3000 euros etinjonction sous astreinte
21/03/2022,RESTAURANT,Non respect du principe deminimisationdes donnéesDurée de conservationInformation des personnesRegistre des activités de traitementCoopération avec les services de la CNILDéfaut de sécurité des données,Amende de 10 000 euros
24/03/2022,NOTAIRE,Conformité partielle à l'injonction prononcée,Liquidation de l'astreinte de 1 000 euros
15/04/2022,SOCIETE D'EDITION DE LOGICIELS APPLICATIFS,Obligation d’encadrer les relations entre leresponsable de traitementet lesous-traitantObligation pour le sous-traitant de ne traiter les données que sur instruction du responsable de traitementDéfaut de sécurité des données,Amende de 1 500 000 euros
23/06/2022,SOCIETE FOURNITURE ET PRODUCTION D'ELECTRICITE ET DE GAZ,Non respect de l'art L 34-5 CPCE - prospection commercialeDéfaut d'informationModalités d'exercice des droitsNon respect du droit d'accèsNon respect du droit d'opposition,Amende administrative d'un million d'euros
13/06/2022,SOCIETE D'ENTRETIEN ET REPARATION DE VEHICULES,Absence de conformité suite à l'injonction prononcée,Liquidation de l'astreinte de 3 900 euros
07/07/2022,SOCIETE DE LOCATION DE VEHICULES,Non respect du principe de minimisation des donnéesDurée de conservationDéfaut d'information,Amende de 175 000 euros
03/08/2022,SOCIETE SPECIALISEE DANS LE SECTEUR DE L'HOTELLERIE,Non respect de l'art L 34-5 CPCE - prospection commercialeDéfaut d'informationNon respect du droit d'accèsNon respect du droit d'oppositionDéfaut de sécurité des données,Amende de 600 000 euros
08/09/2022,GROUPEMENT D'INTÉRÊT ÉCONOMIQUE DES GREFFES DE TRIBUNAUX DE COMMERCE DE FRANCE,Durée de conservationDéfaut de sécurité des données,Amende de 250 000 euros
17/10/2022,SOCIETE DEVELOPPANT UN LOGICIEL DERECONNAISSANCE FACIALE,Défaut debase légaleNon respect du droit d'accèsNon respect du droit à l'effacementDéfaut de coopération avec la CNIL,Amende de vingt millions d'euros et injonction sous astreinte
10/11/2022,SOCIETE DEVELOPPANT UN LOGICIEL DE VOIX SUR IP ET UNE MESSAGERIE INSTANTANEE,Durée de conservationObligation de transparenceDéfaut d'informationNon respect du droit d'oppositionProtection des données par défautObligation de réaliser une analyse d'impactDéfaut de sécurité des données,Amende de 800 000 euros
